order_item_id,order_id,product_id,quantity,discount
1,1,18,2,15
2,1,43,4,15
3,2,27,5,10
4,2,51,1,0
5,3,17,1,10
6,3,24,1,0
7,4,53,1,5
8,4,27,3,5
9,5,43,5,10
10,6,39,1,0
11,6,8,3,5
12,7,34,4,15
13,8,45,1,20
14,8,55,4,10
15,9,2,3,0
16,9,23,2,20
17,10,11,3,20
18,10,7,3,0
19,10,21,4,10
20,11,20,1,0
21,12,54,3,5
22,12,19,3,20
23,12,29,3,10
24,13,8,5,0
25,13,45,3,10
26,13,36,1,10
27,14,20,2,5
28,14,36,4,5
29,15,2,3,20
30,16,41,3,5
31,17,34,2,10
32,18,55,2,20
33,19,54,5,15
34,19,23,2,5
35,20,27,2,20
36,20,50,3,15
37,20,55,2,10
38,21,12,5,0
39,22,47,2,20
40,23,1,2,0
41,23,28,3,20
42,23,6,4,10
43,24,36,2,5
44,24,37,5,0
45,24,6,2,10
46,25,15,2,0
47,25,49,3,15
48,25,19,5,0
49,26,32,5,0
50,26,23,3,10
51,27,14,3,10
52,27,36,5,20
53,27,55,2,15
54,28,44,5,20
55,29,48,5,15
56,30,19,4,0
57,30,47,2,10
58,30,22,3,5
59,31,4,3,0
60,32,22,5,10
61,32,13,4,5
62,33,23,4,20
63,34,12,4,0
64,35,52,3,10
65,35,9,5,20
66,35,53,3,10
67,36,5,3,0
68,36,37,1,5
69,37,13,1,10
70,37,19,2,5
71,38,39,4,15
72,39,30,5,15
73,39,42,2,20
74,40,1,3,20
75,40,35,1,10
76,41,5,4,20
77,41,43,4,0
78,42,48,4,15
79,42,26,2,15
80,42,20,1,10
81,43,4,1,20
82,43,13,1,20
83,44,7,1,10
84,45,4,5,5
85,46,17,2,10
86,46,5,5,0
87,47,16,1,15
88,48,9,5,15
89,49,27,1,15
90,49,16,4,15
91,49,5,4,15
92,50,31,4,20
93,50,36,5,5
94,51,15,3,5
95,51,5,1,15
96,52,15,1,0
97,53,53,2,5
98,53,36,4,10
99,53,9,3,0
100,54,10,4,20
101,55,46,5,0
102,55,29,1,10
103,56,53,5,5
104,56,48,4,20
105,57,44,3,0
106,57,37,5,5
107,57,13,2,5
108,58,34,5,15
109,59,1,4,5
110,60,26,5,15
111,60,29,2,5
112,61,32,3,20
113,61,26,2,20
114,62,17,4,5
115,62,23,4,10
116,63,11,5,0
117,63,51,1,20
118,63,47,3,15
119,64,43,1,20
120,64,30,3,15
121,64,24,4,0
122,65,24,5,15
123,65,26,3,10
124,66,11,3,20
125,66,52,4,5
126,66,55,4,0
127,67,20,5,20
128,68,28,3,15
129,68,50,5,20
130,69,24,4,10
131,69,42,5,10
132,69,38,4,0
133,70,35,2,20
134,71,4,1,20
135,72,37,2,5
136,73,43,1,10
137,74,30,2,10
138,74,55,4,15
139,74,39,3,20
140,75,2,2,15
141,75,21,5,10
142,75,40,3,20
143,76,40,5,20
144,76,10,2,10
145,76,39,3,20
146,77,38,2,0
147,77,18,3,10
148,78,54,2,10
149,78,5,3,0
150,78,55,5,20
151,79,53,1,15
152,80,8,5,0
153,81,4,3,10
154,82,42,4,10
155,83,53,5,0
156,83,50,5,5
157,84,9,5,0
158,84,53,4,0
159,85,2,4,0
160,85,19,4,20
161,85,41,3,5
162,86,33,2,15
163,86,30,1,5
164,86,32,4,5
165,87,33,5,15
166,87,35,4,0
167,87,2,2,10
168,88,26,4,5
169,88,20,4,10
170,88,15,2,10
171,89,4,3,0
172,90,10,4,0
173,90,24,4,5
174,91,47,1,0
175,91,43,5,5
176,91,2,2,5
177,92,44,1,0
178,93,7,5,20
179,93,52,5,5
180,94,52,5,10
181,94,12,2,15
182,95,45,5,5
183,96,28,1,5
184,96,48,3,15
185,97,43,1,5
186,97,45,5,15
187,98,12,1,15
188,98,51,3,5
189,98,1,2,15
190,99,27,5,0
191,99,9,5,15
192,99,4,2,20
193,100,50,2,10
194,101,1,1,20
195,102,49,1,5
196,103,52,2,5
197,103,12,5,5
198,103,27,5,0
199,104,9,3,5
200,105,22,2,15
201,105,33,2,0
202,106,49,3,5
203,106,47,3,10
204,107,15,1,15
205,108,6,4,5
206,108,29,5,10
207,108,50,5,15
208,109,19,2,0
209,109,12,3,20
210,110,13,2,5
211,110,23,1,0
212,110,1,2,5
213,111,44,1,0
214,111,49,5,5
215,112,10,4,10
216,112,18,3,10
217,112,11,2,5
218,113,24,4,5
219,113,8,4,5
220,114,5,1,10
221,114,41,3,0
222,114,17,5,15
223,115,13,4,20
224,115,39,1,20
225,115,52,5,5
226,116,9,3,5
227,116,38,2,20
228,116,7,1,0
229,117,33,4,10
230,117,39,3,5
231,117,5,1,20
232,118,11,4,10
233,119,7,3,15
234,119,3,3,15
235,119,19,4,0
236,120,33,2,5
237,120,13,3,10
238,121,9,1,0
239,121,13,5,0
240,122,6,2,5
241,123,48,4,20
242,123,25,3,0
243,124,47,1,15
244,125,12,5,15
245,125,26,3,20
246,125,53,1,5
247,126,5,3,5
248,126,35,3,10
249,127,10,5,0
250,128,2,2,10
251,128,10,4,5
252,129,43,3,10
253,129,49,1,5
254,129,31,2,20
255,130,25,3,20
256,131,31,1,5
257,131,36,5,5
258,131,55,4,10
259,132,4,3,15
260,133,18,3,20
261,133,55,5,20
262,134,40,3,5
263,134,5,5,0
264,134,13,5,5
265,135,10,1,15
266,135,51,2,10
267,136,44,3,20
268,137,34,5,15
269,138,22,4,20
270,139,47,3,15
271,139,48,4,0
272,139,45,1,10
273,140,44,4,20
274,140,48,1,0
275,140,51,3,5
276,141,26,2,15
277,141,45,3,15
278,141,34,2,10
279,142,10,3,15
280,143,39,1,5
281,143,49,4,5
282,144,43,3,0
283,145,28,3,15
284,146,36,4,5
285,146,6,3,15
286,146,46,5,5
287,147,53,4,0
288,148,54,2,20
289,148,18,2,5
290,149,23,4,5
291,149,5,3,20
292,150,5,2,15
293,150,25,1,10
294,150,30,1,0
295,151,33,5,10
296,151,39,1,10
297,152,19,1,5
298,152,1,4,0
299,152,15,2,0
300,153,32,4,5
301,153,47,3,10
302,153,28,1,15
303,154,16,5,0
304,155,8,3,10
305,156,12,3,0
306,156,39,4,5
307,157,51,5,20
308,158,2,5,5
309,158,49,4,15
310,158,15,4,5
311,159,22,4,0
312,159,42,2,10
313,159,19,1,20
314,160,43,2,5
315,160,9,4,15
316,161,29,5,15
317,162,34,4,5
318,162,15,5,15
319,162,37,1,5
320,163,37,3,10
321,163,13,1,0
322,164,40,5,5
323,165,35,1,20
324,166,49,5,15
325,166,3,2,5
326,166,26,5,5
327,167,51,1,20
328,168,55,2,20
329,168,10,2,0
330,168,54,1,20
331,169,16,1,5
332,169,6,1,10
333,169,37,2,15
334,170,37,2,20
335,171,19,5,10
336,171,5,4,15
337,172,32,2,0
338,172,50,2,5
339,173,1,3,0
340,173,7,1,10
341,174,9,2,0
342,174,41,3,0
343,174,32,4,0
344,175,34,1,10
345,175,22,2,15
346,176,54,5,20
347,176,46,3,5
348,176,52,3,5
349,177,45,3,15
350,177,23,2,0
351,177,19,2,10
352,178,21,3,0
353,178,20,3,10
354,178,13,4,10
355,179,55,1,0
356,179,25,3,20
357,180,21,5,10
358,181,27,2,10
359,181,53,2,5
360,181,7,5,5
361,182,53,2,20
362,182,48,2,0
363,183,33,1,10
364,184,28,1,20
365,185,38,3,0
366,185,12,1,15
367,185,43,1,20
368,186,24,3,0
369,187,46,2,10
370,187,37,2,15
371,188,4,2,0
372,189,11,1,5
373,189,29,5,5
374,189,47,1,5
375,190,35,4,20
376,191,50,3,10
377,191,42,2,15
378,191,49,3,10
379,192,35,4,0
380,193,24,4,20
381,194,31,2,15
382,194,41,3,15
383,195,24,3,20
384,195,20,3,15
385,196,46,5,5
386,196,21,3,0
387,196,10,3,0
388,197,48,3,10
389,198,29,2,20
390,199,30,5,20
391,200,24,2,0
392,200,16,1,10
393,200,6,1,10
394,201,7,2,10
395,201,45,5,5
396,202,36,3,5
397,202,17,1,10
398,202,54,4,0
399,203,49,4,5
400,203,51,2,15
401,204,22,2,5
402,205,41,3,20
403,205,2,2,20
404,205,18,4,10
405,206,47,2,0
406,206,48,2,10
407,206,2,2,0
408,207,31,5,10
409,207,6,1,20
410,207,40,4,15
411,208,22,3,10
412,208,9,1,0
413,208,29,1,10
414,209,53,5,10
415,209,17,3,10
416,210,3,2,5
417,210,48,3,10
418,210,51,2,15
419,211,49,4,20
420,212,21,1,15
421,212,18,4,20
422,213,41,5,10
423,213,8,3,0
424,214,49,1,15
425,215,24,3,20
426,215,38,2,0
427,215,55,3,10
428,216,30,5,15
429,216,25,2,15
430,216,15,4,20
431,217,40,4,20
432,217,50,5,15
433,218,52,4,10
434,218,51,3,10
435,219,29,5,10
436,220,5,3,15
437,220,38,4,0
438,220,20,5,5
439,221,36,2,0
440,221,40,3,20
441,221,20,5,0
442,222,20,2,15
443,222,17,1,0
444,222,45,4,15
445,223,1,3,5
446,224,14,4,20
447,224,42,4,5
448,224,3,2,0
449,225,1,2,15
450,226,46,2,15
451,226,35,2,20
452,226,3,2,15
453,227,26,2,15
454,227,19,2,15
455,227,13,4,15
456,228,50,1,20
457,228,40,5,10
458,229,18,5,15
459,229,2,1,0
460,229,48,5,10
461,230,1,1,0
462,230,37,4,5
463,231,21,3,15
464,232,18,5,15
465,232,42,4,5
466,232,10,1,0
467,233,7,1,5
468,234,8,5,15
469,235,30,3,0
470,236,50,4,15
471,236,7,3,10
472,236,41,4,0
473,237,11,3,0
474,238,15,1,5
475,238,17,2,5
476,238,1,3,15
477,239,51,3,5
478,240,45,4,20
479,240,42,5,5
480,241,37,3,10
481,241,55,2,10
482,241,4,5,20
483,242,4,1,0
484,242,1,5,15
485,242,42,2,5
486,243,19,4,0
487,244,42,3,15
488,244,40,2,5
489,245,47,2,0
490,246,15,4,10
491,246,9,4,10
492,246,22,5,10
493,247,19,3,5
494,248,8,1,15
495,249,47,4,0
496,249,12,5,20
497,250,7,4,0
498,251,16,4,10
499,251,38,4,5
500,252,29,3,20
501,252,12,2,10
502,253,40,4,0
503,253,41,4,5
504,253,3,5,0
505,254,21,4,0
506,254,32,2,0
507,255,42,1,0
508,255,13,1,15
509,256,49,3,0
510,256,40,1,20
511,257,17,4,20
512,257,46,1,20
513,258,25,4,20
514,258,45,4,0
515,258,50,2,15
516,259,19,4,10
517,259,14,2,10
518,259,5,5,0
519,260,32,3,15
520,260,39,2,15
521,260,25,2,15
522,261,7,3,15
523,261,46,1,15
524,262,53,5,15
525,262,39,2,15
526,262,47,3,15
527,263,26,2,0
528,263,47,5,5
529,264,36,1,0
530,264,31,3,5
531,265,34,2,20
532,265,54,2,15
533,266,23,2,10
534,267,26,4,10
535,267,4,4,5
536,268,28,2,20
537,269,34,1,15
538,269,25,3,15
539,269,16,4,10
540,270,7,4,15
541,270,26,4,0
542,270,46,4,20
543,271,34,1,0
544,271,41,3,5
545,272,18,5,0
546,272,20,3,20
547,273,11,5,20
548,273,12,1,15
549,273,15,4,5
550,274,41,1,15
551,275,19,2,5
552,275,49,2,15
553,275,46,2,10
554,276,36,3,0
555,277,6,4,0
556,278,50,5,5
557,278,25,1,0
558,279,40,4,20
559,279,28,5,0
560,280,30,3,20
561,280,25,2,20
562,281,26,3,15
563,281,42,3,5
564,281,43,5,0
565,282,15,4,5
566,283,14,3,10
567,284,48,1,15
568,284,33,3,0
569,285,4,5,20
570,285,30,4,10
571,286,49,1,5
572,286,23,3,5
573,286,42,3,20
574,287,14,2,10
575,288,14,5,20
576,288,42,1,10
577,288,7,1,0
578,289,41,3,5
579,289,4,2,10
580,289,10,2,20
581,290,37,2,10
582,290,4,2,15
583,290,23,5,15
584,291,10,3,0
585,291,27,3,15
586,292,13,3,0
587,292,54,5,15
588,292,45,5,15
589,293,26,3,10
590,293,55,2,0
591,293,44,5,20
592,294,54,1,5
593,295,39,5,5
594,296,37,2,10
595,296,5,3,20
596,296,27,1,5
597,297,22,4,5
598,297,23,5,10
599,297,10,3,15
600,298,24,5,0
601,298,52,3,15
602,298,42,1,15
603,299,48,3,15
604,299,27,4,15
605,299,25,1,0
606,300,34,3,20
607,300,18,4,20
608,301,1,5,15
609,301,13,1,15
610,301,31,1,15
611,302,34,4,10
612,303,46,3,20
613,303,16,2,0
614,304,47,5,10
615,304,21,4,20
616,305,20,5,15
617,305,17,1,20
618,305,44,1,10
619,306,6,2,15
620,306,51,3,0
621,306,39,3,5
622,307,45,5,5
623,307,11,1,20
624,307,27,4,20
625,308,35,4,0
626,308,22,5,15
627,308,23,3,15
628,309,11,4,15
629,309,3,1,5
630,309,19,4,10
631,310,40,1,20
632,310,22,4,20
633,311,49,5,10
634,312,14,2,5
635,313,6,3,10
636,314,19,3,5
637,315,40,3,0
638,316,35,3,20
639,316,13,4,20
640,316,22,4,20
641,317,17,5,10
642,317,10,5,20
643,318,10,4,20
644,318,52,5,20
645,318,39,1,10
646,319,4,3,10
647,320,41,2,20
648,320,49,2,15
649,320,51,3,10
650,321,2,2,20
651,322,16,2,5
652,322,3,2,0
653,323,46,4,10
654,324,19,5,5
655,325,30,5,0
656,326,40,2,20
657,326,32,4,5
658,326,47,2,5
659,327,31,5,0
660,327,36,4,15
661,328,39,3,15
662,328,36,5,10
663,328,18,5,5
664,329,46,4,20
665,330,49,5,15
666,331,1,5,10
667,332,10,4,5
668,332,52,5,5
669,332,26,2,0
670,333,40,5,5
671,334,44,3,15
672,335,49,4,15
