order_id,customer_id,store_id,order_date
1,5259,1,2025-05-08
2,9217,10,2024-07-08
3,9081,7,2023-02-14
4,8527,7,2025-07-12
5,6982,5,2024-07-28
6,5,2,2022-02-12
7,7248,2,2022-04-25
8,9492,1,2025-04-12
9,6116,5,2025-07-22
10,4958,8,2023-04-05
11,3741,8,2024-07-28
12,7461,5,2024-08-04
13,2997,1,2025-09-02
14,5722,6,2023-07-13
15,5156,2,2022-04-18
16,1724,1,2023-07-27
17,422,3,2024-12-17
18,5178,5,2025-08-16
19,2822,4,2024-01-30
20,1062,4,2025-05-13
21,5003,10,2024-02-25
22,4425,6,2023-04-02
23,9739,10,2022-10-21
24,9404,3,2024-06-03
25,3498,10,2024-06-30
26,46,4,2023-10-27
27,5510,5,2023-11-28
28,9674,4,2022-03-18
29,4623,1,2024-09-12
30,1846,6,2022-12-01
31,2302,9,2024-12-23
32,6718,8,2023-08-24
33,5690,6,2024-04-07
34,1747,7,2024-08-09
35,6881,9,2024-01-14
36,621,10,2023-08-28
37,8417,7,2023-09-03
38,8065,9,2022-04-05
39,571,9,2022-08-10
40,7464,1,2025-10-27
41,2828,8,2023-03-07
42,2094,7,2024-07-22
43,7977,9,2025-07-17
44,7513,7,2024-09-26
45,1020,1,2025-08-23
46,918,10,2025-02-16
47,2140,8,2023-03-19
48,2758,2,2024-10-20
49,953,3,2022-10-22
50,8301,6,2024-05-01
51,8048,6,2025-02-06
52,5735,6,2024-05-26
53,4639,10,2024-06-04
54,7813,2,2022-03-17
55,2164,6,2022-01-21
56,5222,1,2022-09-12
57,9862,2,2023-08-26
58,9471,6,2024-12-06
59,9687,9,2024-07-07
60,5889,1,2022-04-06
61,6341,2,2022-04-07
62,6376,8,2025-08-06
63,8340,7,2022-05-09
64,8785,10,2022-06-09
65,5304,2,2023-09-09
66,1913,9,2025-09-11
67,3630,5,2025-05-03
68,4536,8,2022-12-15
69,9865,5,2023-01-10
70,7641,3,2023-08-30
71,7279,2,2023-01-26
72,4801,8,2022-12-30
73,2914,5,2024-02-17
74,651,4,2024-03-07
75,5498,2,2024-12-28
76,2595,2,2024-06-11
77,9503,9,2025-06-12
78,8766,5,2023-08-11
79,128,3,2022-08-12
80,7051,5,2025-04-03
81,6828,2,2023-03-23
82,843,1,2025-09-24
83,1812,4,2025-06-30
84,8605,9,2025-10-06
85,236,7,2023-02-15
86,2422,7,2024-02-15
87,3549,4,2025-01-21
88,2244,2,2024-02-24
89,5688,3,2024-04-03
90,621,1,2022-06-18
91,2936,6,2024-10-02
92,8303,2,2024-07-16
93,2722,7,2025-11-20
94,4733,3,2023-04-24
95,6238,1,2022-07-10
96,7727,6,2023-08-24
97,1625,6,2022-05-14
98,3684,6,2024-10-20
99,8555,2,2022-10-02
100,8789,3,2025-09-27
101,4226,10,2024-10-11
102,1180,1,2023-03-01
103,7382,5,2024-10-21
104,2101,1,2025-12-21
105,7467,3,2025-09-08
106,2343,8,2024-03-18
107,934,8,2023-02-04
108,3687,3,2023-09-22
109,4969,6,2022-01-15
110,6629,1,2024-10-06
111,5972,2,2022-03-11
112,9254,8,2022-11-09
113,5301,3,2022-06-20
114,8354,5,2023-05-08
115,3331,2,2023-04-14
116,8411,6,2024-05-04
117,5448,8,2023-10-06
118,5362,10,2023-07-25
119,8093,8,2022-04-07
120,9553,8,2023-12-11
121,3086,10,2024-11-13
122,4773,6,2022-03-30
123,2543,9,2024-11-23
124,1189,9,2022-01-22
125,6251,3,2022-09-24
126,1192,2,2022-07-14
127,8487,10,2023-03-10
128,2643,10,2022-06-10
129,3167,2,2025-02-19
130,225,8,2022-05-25
131,5797,1,2022-02-01
132,8437,5,2022-05-03
133,8535,7,2024-04-16
134,395,9,2023-11-25
135,4815,3,2025-12-05
136,1058,9,2024-06-22
137,6292,6,2022-11-28
138,4365,5,2025-02-13
139,9912,6,2023-01-04
140,9636,10,2023-12-21
141,3239,10,2025-10-29
142,7518,5,2025-12-08
143,4064,2,2025-07-10
144,6041,6,2024-11-25
145,2774,3,2025-11-04
146,6822,10,2024-01-16
147,521,2,2022-11-06
148,9581,10,2025-07-01
149,4599,7,2023-04-07
150,1760,7,2024-05-07
151,7066,10,2025-03-16
152,6772,8,2024-01-28
153,6003,3,2025-08-11
154,8347,5,2024-02-12
155,766,1,2025-04-23
156,8294,1,2023-08-30
157,6749,1,2023-09-10
158,706,1,2025-02-22
159,8010,5,2024-09-02
160,9747,5,2023-10-23
161,5150,9,2022-04-03
162,2731,3,2022-12-01
163,2837,6,2022-11-22
