payment_id,order_id,payment_method,payment_status
1,1,Wallet,Pending
2,2,Wallet,Paid
3,3,Cash,Paid
4,4,UPI,Paid
5,5,Debit Card,Paid
6,6,UPI,Paid
7,7,Cash,Paid
8,8,Wallet,Paid
9,9,Net Banking,Paid
10,10,Wallet,Paid
11,11,Cash,Paid
12,12,Debit Card,Paid
13,13,Cash,Paid
14,14,Credit Card,Paid
15,15,UPI,Paid
16,16,Wallet,Paid
17,17,Cash,Paid
18,18,Cash,Paid
19,19,Net Banking,Paid
20,20,Credit Card,Pending
21,21,Credit Card,Paid
22,22,Debit Card,Paid
23,23,Credit Card,Paid
24,24,Net Banking,Paid
25,25,Wallet,Paid
26,26,Wallet,Paid
27,27,Wallet,Paid
28,28,UPI,Paid
29,29,Credit Card,Paid
30,30,Wallet,Paid
31,31,Net Banking,Paid
32,32,Cash,Paid
33,33,Net Banking,Paid
34,34,Cash,Paid
35,35,Credit Card,Paid
36,36,Cash,Paid
37,37,Net Banking,Paid
38,38,UPI,Paid
39,39,Wallet,Paid
40,40,Cash,Pending
41,41,Credit Card,Paid
42,42,Cash,Paid
43,43,Wallet,Paid
44,44,Debit Card,Paid
45,45,Debit Card,Paid
46,46,Net Banking,Paid
47,47,UPI,Paid
48,48,Debit Card,Paid
49,49,UPI,Paid
50,50,Credit Card,Paid
51,51,UPI,Paid
52,52,Credit Card,Paid
53,53,Credit Card,Paid
54,54,Cash,Paid
55,55,Cash,Paid
56,56,Net Banking,Paid
57,57,Wallet,Paid
58,58,Net Banking,Paid
59,59,Cash,Paid
60,60,Credit Card,Pending
61,61,UPI,Paid
62,62,Credit Card,Paid
63,63,UPI,Paid
64,64,Debit Card,Paid
65,65,Credit Card,Paid
66,66,Debit Card,Paid
67,67,Cash,Paid
68,68,Cash,Paid
69,69,Debit Card,Paid
70,70,UPI,Paid
71,71,UPI,Paid
72,72,Debit Card,Paid
73,73,Debit Card,Paid
74,74,Credit Card,Paid
75,75,UPI,Paid
76,76,UPI,Paid
77,77,UPI,Paid
78,78,Net Banking,Paid
79,79,UPI,Paid
80,80,Wallet,Paid
81,81,Net Banking,Paid
82,82,Wallet,Paid
83,83,Cash,Paid
84,84,UPI,Paid
85,85,Cash,Paid
86,86,UPI,Paid
87,87,Debit Card,Paid
88,88,Cash,Paid
89,89,Net Banking,Paid
90,90,Debit Card,Paid
91,91,Net Banking,Paid
92,92,Debit Card,Paid
93,93,Debit Card,Paid
94,94,UPI,Paid
95,95,Debit Card,Paid
96,96,Net Banking,Paid
97,97,UPI,Paid
98,98,Credit Card,Paid
99,99,Wallet,Paid
100,100,Cash,Paid
101,101,Cash,Paid
102,102,Credit Card,Paid
103,103,UPI,Paid
104,104,Wallet,Paid
105,105,Debit Card,Paid
106,106,UPI,Paid
107,107,Cash,Paid
108,108,Net Banking,Paid
109,109,Credit Card,Paid
110,110,Wallet,Paid
111,111,Cash,Paid
112,112,Wallet,Paid
113,113,Net Banking,Paid
114,114,Credit Card,Paid
115,115,Net Banking,Paid
116,116,UPI,Pending
117,117,Credit Card,Paid
118,118,Credit Card,Paid
119,119,UPI,Paid
120,120,Net Banking,Paid
121,121,Wallet,Paid
122,122,Cash,Paid
123,123,UPI,Paid
124,124,Debit Card,Paid
125,125,Wallet,Paid
126,126,Credit Card,Paid
127,127,UPI,Paid
128,128,Net Banking,Paid
129,129,Net Banking,Paid
130,130,Credit Card,Paid
131,131,Wallet,Paid
132,132,Wallet,Paid
133,133,Wallet,Paid
134,134,Wallet,Paid
135,135,Net Banking,Paid
136,136,Credit Card,Pending
137,137,Wallet,Paid
138,138,Cash,Paid
139,139,Net Banking,Paid
140,140,UPI,Paid
141,141,Credit Card,Paid
142,142,Cash,Paid
143,143,UPI,Paid
144,144,Net Banking,Paid
145,145,Debit Card,Paid
146,146,Cash,Paid
147,147,UPI,Paid
148,148,Debit Card,Paid
149,149,Cash,Paid
150,150,UPI,Paid
151,151,Net Banking,Paid
152,152,UPI,Paid
153,153,Net Banking,Paid
154,154,Wallet,Paid
155,155,Credit Card,Paid
156,156,Debit Card,Paid
157,157,UPI,Paid
158,158,UPI,Paid
159,159,Net Banking,Paid
160,160,UPI,Paid
161,161,UPI,Paid
162,162,Credit Card,Paid
163,163,Cash,Paid
164,164,Net Banking,Paid
165,165,Wallet,Pending
166,166,Wallet,Paid
167,167,Debit Card,Paid
168,168,Net Banking,Paid
169,169,Wallet,Paid
170,170,Net Banking,Paid
171,171,Wallet,Paid
172,172,Net Banking,Paid
173,173,Wallet,Paid
174,174,UPI,Paid
175,175,Debit Card,Paid
176,176,Debit Card,Paid
177,177,Wallet,Paid
178,178,UPI,Paid
179,179,Wallet,Paid
180,180,Wallet,Paid
181,181,UPI,Paid
182,182,UPI,Paid
183,183,UPI,Paid
184,184,Debit Card,Paid
185,185,Net Banking,Paid
186,186,Credit Card,Paid
187,187,UPI,Paid
188,188,Cash,Paid
189,189,Net Banking,Paid
190,190,Credit Card,Paid
191,191,Debit Card,Paid
192,192,Wallet,Paid
193,193,Net Banking,Paid
194,194,Net Banking,Paid
195,195,Cash,Paid
196,196,Cash,Paid
197,197,Wallet,Paid
198,198,Wallet,Paid
199,199,Net Banking,Paid
200,200,Wallet,Paid
201,201,UPI,Paid
202,202,Wallet,Paid
203,203,Debit Card,Paid
204,204,Debit Card,Paid
205,205,Net Banking,Paid
206,206,Cash,Paid
207,207,Cash,Paid
208,208,Wallet,Paid
209,209,Credit Card,Paid
210,210,Cash,Paid
211,211,Cash,Pending
212,212,Wallet,Paid
213,213,Wallet,Paid
214,214,UPI,Paid
215,215,Net Banking,Paid
216,216,Credit Card,Paid
217,217,Cash,Paid
218,218,Credit Card,Paid
219,219,UPI,Paid
220,220,Debit Card,Paid
221,221,Wallet,Paid
222,222,Wallet,Paid
223,223,Debit Card,Paid
224,224,Wallet,Paid
225,225,UPI,Paid
226,226,Net Banking,Paid
227,227,UPI,Paid
228,228,Wallet,Paid
229,229,Wallet,Paid
230,230,Wallet,Paid
231,231,Cash,Paid
232,232,Wallet,Paid
233,233,Debit Card,Paid
234,234,Cash,Paid
235,235,Credit Card,Paid
236,236,Debit Card,Paid
237,237,Net Banking,Paid
238,238,Wallet,Paid
239,239,Wallet,Paid
240,240,UPI,Paid
241,241,Debit Card,Paid
242,242,Cash,Paid
243,243,Debit Card,Paid
244,244,Debit Card,Paid
245,245,Wallet,Paid
246,246,Net Banking,Paid
247,247,UPI,Paid
248,248,Credit Card,Paid
249,249,UPI,Paid
250,250,Net Banking,Paid
251,251,Wallet,Paid
252,252,Wallet,Paid
253,253,Credit Card,Paid
254,254,UPI,Paid
255,255,Credit Card,Paid
256,256,UPI,Paid
257,257,UPI,Paid
258,258,Wallet,Paid
259,259,Wallet,Paid
260,260,Cash,Paid
261,261,UPI,Paid
262,262,Credit Card,Paid
263,263,Cash,Paid
264,264,Debit Card,Paid
265,265,Cash,Paid
266,266,Credit Card,Paid
267,267,Debit Card,Paid
268,268,Debit Card,Paid
269,269,Credit Card,Paid
270,270,UPI,Paid
271,271,Credit Card,Paid
272,272,Debit Card,Paid
273,273,Wallet,Paid
274,274,Credit Card,Paid
275,275,Cash,Pending
276,276,Debit Card,Paid
277,277,UPI,Paid
278,278,Cash,Paid
279,279,Debit Card,Paid
280,280,Net Banking,Pending
281,281,Debit Card,Paid
282,282,Credit Card,Paid
283,283,Cash,Paid
284,284,Credit Card,Paid
285,285,Credit Card,Paid
286,286,Wallet,Paid
287,287,Debit Card,Paid
288,288,Debit Card,Paid
289,289,Credit Card,Paid
290,290,Net Banking,Paid
291,291,UPI,Paid
292,292,Cash,Paid
293,293,Debit Card,Paid
294,294,Debit Card,Paid
295,295,Credit Card,Paid
296,296,Wallet,Paid
297,297,Wallet,Paid
298,298,Wallet,Paid
299,299,Cash,Paid
300,300,Credit Card,Paid
301,301,Wallet,Paid
302,302,UPI,Pending
303,303,Net Banking,Paid
304,304,Wallet,Paid
305,305,Net Banking,Paid
306,306,Debit Card,Paid
307,307,Credit Card,Paid
308,308,Credit Card,Paid
309,309,UPI,Paid
310,310,Net Banking,Paid
311,311,Credit Card,Pending
312,312,Debit Card,Paid
313,313,Net Banking,Paid
314,314,Net Banking,Paid
315,315,UPI,Paid
316,316,UPI,Paid
317,317,Wallet,Paid
318,318,Credit Card,Paid
319,319,Wallet,Paid
320,320,Net Banking,Paid
321,321,Credit Card,Paid
322,322,Wallet,Paid
323,323,Debit Card,Paid
324,324,UPI,Paid
325,325,UPI,Paid
326,326,Credit Card,Paid
327,327,Wallet,Paid
328,328,Net Banking,Paid
329,329,Net Banking,Paid
330,330,Cash,Paid
331,331,Cash,Paid
332,332,UPI,Paid
333,333,Cash,Paid
334,334,Credit Card,Paid
335,335,Net Banking,Paid
336,336,Debit Card,Paid
337,337,Net Banking,Paid
338,338,Net Banking,Paid
339,339,Cash,Paid
340,340,Credit Card,Paid
341,341,Cash,Paid
342,342,Credit Card,Paid
343,343,Credit Card,Paid
344,344,Debit Card,Paid
345,345,UPI,Paid
346,346,Net Banking,Paid
347,347,Net Banking,Paid
348,348,Debit Card,Paid
349,349,Credit Card,Paid
350,350,Credit Card,Paid
351,351,Wallet,Paid
352,352,Credit Card,Paid
353,353,Credit Card,Paid
354,354,Credit Card,Pending
355,355,Debit Card,Paid
356,356,Net Banking,Paid
357,357,Debit Card,Paid
358,358,Debit Card,Paid
359,359,UPI,Paid
360,360,Wallet,Paid
361,361,UPI,Paid
362,362,UPI,Paid
363,363,Debit Card,Paid
364,364,Debit Card,Paid
365,365,Debit Card,Paid
366,366,Debit Card,Paid
367,367,Cash,Paid
368,368,Credit Card,Paid
369,369,Credit Card,Paid
370,370,UPI,Paid
371,371,Debit Card,Paid
372,372,Cash,Paid
373,373,Net Banking,Paid
374,374,Credit Card,Paid
375,375,UPI,Paid
376,376,Credit Card,Paid
377,377,Debit Card,Paid
378,378,UPI,Paid
379,379,Cash,Paid
380,380,Debit Card,Paid
381,381,Wallet,Paid
382,382,Credit Card,Paid
383,383,Wallet,Paid
384,384,UPI,Paid
385,385,Credit Card,Paid
386,386,Credit Card,Paid
387,387,Debit Card,Pending
388,388,Cash,Paid
389,389,Cash,Paid
390,390,UPI,Paid
391,391,Cash,Paid
392,392,Net Banking,Paid
393,393,Wallet,Paid
394,394,Cash,Paid
395,395,Wallet,Paid
396,396,UPI,Paid
397,397,Credit Card,Paid
398,398,UPI,Paid
399,399,Cash,Paid
400,400,Net Banking,Paid
401,401,Cash,Paid
402,402,Wallet,Paid
403,403,Wallet,Paid
404,404,UPI,Paid
405,405,UPI,Paid
406,406,Net Banking,Paid
407,407,Wallet,Paid
408,408,Wallet,Paid
409,409,Credit Card,Paid
410,410,Credit Card,Paid
411,411,Debit Card,Paid
412,412,Debit Card,Paid
413,413,UPI,Paid
414,414,Credit Card,Paid
415,415,Wallet,Pending
416,416,UPI,Paid
417,417,Credit Card,Paid
418,418,Credit Card,Paid
419,419,UPI,Paid
420,420,Cash,Paid
421,421,Cash,Paid
422,422,Debit Card,Paid
423,423,Debit Card,Paid
424,424,Cash,Pending
425,425,Credit Card,Paid
426,426,Cash,Paid
427,427,Credit Card,Paid
428,428,Credit Card,Paid
429,429,Credit Card,Paid
430,430,Wallet,Paid
431,431,UPI,Paid
432,432,Wallet,Paid
433,433,Cash,Paid
434,434,Debit Card,Paid
435,435,Credit Card,Pending
436,436,Net Banking,Paid
437,437,Debit Card,Paid
438,438,Wallet,Paid
439,439,Net Banking,Paid
440,440,Cash,Paid
441,441,Wallet,Paid
442,442,Cash,Paid
443,443,Credit Card,Paid
444,444,Credit Card,Paid
445,445,Cash,Paid
446,446,Wallet,Paid
447,447,Net Banking,Paid
448,448,Credit Card,Paid
449,449,Net Banking,Paid
450,450,Debit Card,Paid
451,451,Wallet,Paid
452,452,UPI,Paid
453,453,Wallet,Paid
454,454,Cash,Paid
455,455,Net Banking,Paid
456,456,Credit Card,Paid
457,457,Credit Card,Paid
458,458,Debit Card,Paid
459,459,Debit Card,Paid
460,460,Debit Card,Paid
461,461,Credit Card,Pending
462,462,UPI,Paid
463,463,UPI,Paid
464,464,Credit Card,Paid
465,465,UPI,Paid
466,466,Cash,Paid
467,467,Credit Card,Paid
468,468,Net Banking,Paid
469,469,Net Banking,Paid
470,470,Net Banking,Paid
471,471,Wallet,Paid
472,472,Cash,Paid
473,473,UPI,Paid
474,474,Net Banking,Paid
475,475,Cash,Paid
476,476,Net Banking,Paid
477,477,Debit Card,Paid
478,478,Net Banking,Pending
479,479,Wallet,Paid
480,480,Net Banking,Paid
481,481,Net Banking,Paid
482,482,Credit Card,Paid
483,483,Cash,Paid
484,484,Net Banking,Paid
485,485,Debit Card,Paid
486,486,Cash,Paid
487,487,Debit Card,Paid
488,488,Net Banking,Paid
489,489,Credit Card,Paid
490,490,Debit Card,Paid
491,491,Credit Card,Paid
492,492,Debit Card,Paid
493,493,Wallet,Paid
494,494,Cash,Paid
495,495,Debit Card,Paid
496,496,UPI,Paid
497,497,Credit Card,Paid
498,498,Debit Card,Paid
499,499,UPI,Paid
500,500,UPI,Paid
501,501,Net Banking,Paid
502,502,Debit Card,Paid
503,503,Credit Card,Paid
504,504,Cash,Paid
505,505,Cash,Paid
506,506,Debit Card,Paid
507,507,Wallet,Paid
508,508,Cash,Paid
509,509,Net Banking,Paid
510,510,Debit Card,Pending
511,511,Cash,Paid
512,512,Cash,Paid
513,513,UPI,Paid
514,514,Debit Card,Paid
515,515,Debit Card,Paid
516,516,Wallet,Paid
517,517,Credit Card,Paid
518,518,Net Banking,Paid
519,519,Debit Card,Pending
520,520,Net Banking,Paid
521,521,Credit Card,Paid
522,522,Net Banking,Paid
523,523,Net Banking,Paid
524,524,Debit Card,Paid
525,525,UPI,Paid
526,526,Debit Card,Paid
527,527,Wallet,Paid
528,528,Wallet,Paid
529,529,Cash,Paid
530,530,Debit Card,Paid
531,531,Wallet,Paid
532,532,Net Banking,Paid
533,533,Net Banking,Paid
534,534,Cash,Paid
535,535,Debit Card,Paid
536,536,Net Banking,Paid
537,537,Wallet,Paid
538,538,Wallet,Paid
539,539,Cash,Paid
540,540,Credit Card,Paid
541,541,Credit Card,Paid
542,542,UPI,Paid
543,543,Credit Card,Paid
544,544,Debit Card,Paid
545,545,Cash,Paid
546,546,Cash,Paid
547,547,Cash,Paid
548,548,UPI,Paid
549,549,Wallet,Paid
550,550,Debit Card,Pending
551,551,UPI,Paid
552,552,Net Banking,Paid
553,553,Cash,Paid
554,554,Debit Card,Paid
555,555,Net Banking,Paid
556,556,Debit Card,Paid
557,557,Debit Card,Paid
558,558,UPI,Paid
559,559,Cash,Paid
560,560,Credit Card,Paid
561,561,Cash,Paid
562,562,UPI,Paid
563,563,Credit Card,Paid
564,564,Net Banking,Paid
565,565,Debit Card,Pending
566,566,Wallet,Paid
567,567,UPI,Paid
568,568,Wallet,Paid
569,569,Cash,Paid
570,570,Cash,Paid
571,571,Debit Card,Paid
572,572,Cash,Paid
573,573,Cash,Paid
574,574,Debit Card,Paid
575,575,Cash,Paid
576,576,Cash,Paid
577,577,Cash,Paid
578,578,UPI,Pending
579,579,Net Banking,Paid
580,580,Wallet,Paid
581,581,Wallet,Paid
582,582,Debit Card,Paid
583,583,Cash,Paid
584,584,Credit Card,Paid
585,585,UPI,Paid
586,586,Cash,Paid
587,587,Wallet,Paid
588,588,Credit Card,Paid
589,589,Credit Card,Paid
590,590,UPI,Paid
591,591,Credit Card,Paid
592,592,Net Banking,Paid
593,593,Credit Card,Paid
594,594,UPI,Paid
595,595,UPI,Paid
596,596,Debit Card,Paid
597,597,Credit Card,Paid
598,598,Cash,Paid
599,599,UPI,Pending
600,600,Net Banking,Paid
601,601,UPI,Paid
602,602,Net Banking,Pending
603,603,Cash,Paid
604,604,Wallet,Paid
605,605,Wallet,Paid
606,606,Net Banking,Paid
607,607,Net Banking,Paid
608,608,Debit Card,Paid
609,609,UPI,Paid
610,610,Cash,Paid
611,611,Debit Card,Pending
612,612,Debit Card,Paid
613,613,Credit Card,Paid
614,614,Credit Card,Paid
615,615,UPI,Paid
616,616,Net Banking,Paid
617,617,UPI,Paid
618,618,Credit Card,Paid
619,619,Cash,Paid
620,620,UPI,Paid
621,621,Cash,Pending
622,622,Wallet,Paid
623,623,Net Banking,Paid
624,624,Credit Card,Paid
625,625,UPI,Paid
626,626,Wallet,Paid
627,627,Cash,Paid
628,628,Cash,Paid
629,629,Net Banking,Paid
630,630,Debit Card,Paid
631,631,Wallet,Paid
632,632,Cash,Paid
633,633,Cash,Paid
634,634,Net Banking,Paid
635,635,Credit Card,Paid
636,636,Debit Card,Paid
637,637,Wallet,Pending
638,638,Debit Card,Paid
639,639,Cash,Paid
640,640,Credit Card,Paid
641,641,Cash,Paid
642,642,Net Banking,Paid
643,643,Wallet,Paid
644,644,UPI,Paid
645,645,Debit Card,Paid
646,646,UPI,Paid
647,647,Cash,Paid
648,648,Credit Card,Paid
649,649,Credit Card,Paid
650,650,Credit Card,Paid
651,651,Wallet,Paid
652,652,UPI,Paid
653,653,UPI,Paid
654,654,Net Banking,Paid
655,655,UPI,Paid
656,656,Net Banking,Pending
657,657,UPI,Paid
658,658,Wallet,Paid
659,659,Wallet,Paid
660,660,Credit Card,Paid
661,661,Debit Card,Paid
662,662,Debit Card,Paid
663,663,UPI,Paid
