return_id,order_item_id,return_reason,return_date
1,69556,Late Delivery,2025-01-01
2,89042,No Longer Needed,2025-01-01
3,67550,Late Delivery,2025-01-01
4,13568,No Longer Needed,2025-01-01
5,94610,Defective,2025-01-01
6,62387,Wrong Product,2025-01-01
7,32705,Damaged,2025-01-01
8,87094,No Longer Needed,2025-01-01
9,88054,Damaged,2025-01-01
10,1729,Late Delivery,2025-01-01
11,48328,Late Delivery,2025-01-01
12,41868,Late Delivery,2025-01-01
13,72416,Defective,2025-01-01
14,93432,Damaged,2025-01-01
15,66500,Late Delivery,2025-01-01
16,69850,No Longer Needed,2025-01-01
17,12037,No Longer Needed,2025-01-01
18,64933,No Longer Needed,2025-01-01
19,16766,No Longer Needed,2025-01-01
20,79094,Wrong Product,2025-01-01
21,56074,Late Delivery,2025-01-01
22,50113,Defective,2025-01-01
23,25857,Damaged,2025-01-01
24,62829,Wrong Product,2025-01-01
25,83446,Wrong Product,2025-01-01
26,51329,No Longer Needed,2025-01-01
27,60597,Damaged,2025-01-01
28,65979,No Longer Needed,2025-01-01
29,88420,Late Delivery,2025-01-01
30,51845,Late Delivery,2025-01-01
31,76477,Late Delivery,2025-01-01
32,62487,No Longer Needed,2025-01-01
33,6492,No Longer Needed,2025-01-01
34,76737,Damaged,2025-01-01
35,94386,Defective,2025-01-01
36,7252,Defective,2025-01-01
37,64907,Damaged,2025-01-01
38,50753,Late Delivery,2025-01-01
39,91722,Defective,2025-01-01
40,85643,Defective,2025-01-01
41,48993,Wrong Product,2025-01-01
42,28638,Late Delivery,2025-01-01
43,68462,Wrong Product,2025-01-01
44,69889,Wrong Product,2025-01-01
45,98580,Late Delivery,2025-01-01
46,67331,Defective,2025-01-01
47,56475,Defective,2025-01-01
48,71502,Defective,2025-01-01
49,86944,Defective,2025-01-01
50,66990,Defective,2025-01-01
51,7340,Late Delivery,2025-01-01
52,54590,No Longer Needed,2025-01-01
53,90480,No Longer Needed,2025-01-01
54,16303,Late Delivery,2025-01-01
55,71331,Wrong Product,2025-01-01
56,78116,Defective,2025-01-01
57,77570,Damaged,2025-01-01
58,19290,No Longer Needed,2025-01-01
